v1,V(n001),V(n002),Ic(Q1),Ib(Q1),Ie(Q1),I(I1),I(V1)
11.069999999999808,11.07,0.73777586,0.020762913,1e-04,-0.020862915,1e-04,-0.020762913
11.079999999999808,11.08,0.7377762,0.020764796,1e-04,-0.020864796,1e-04,-0.020764796
11.089999999999808,11.09,0.73777664,0.020766677,1e-04,-0.020866677,1e-04,-0.020766677
11.099999999999808,11.1,0.737777,0.020768559,1e-04,-0.020868558,1e-04,-0.020768559
11.109999999999808,11.11,0.73777735,0.02077044,1e-04,-0.020870442,1e-04,-0.02077044
11.119999999999807,11.12,0.73777777,0.020772323,1e-04,-0.020872323,1e-04,-0.020772323
11.129999999999807,11.13,0.7377781,0.020774204,1e-04,-0.020874204,1e-04,-0.020774204
11.139999999999807,11.14,0.7377785,0.020776086,1e-04,-0.020876085,1e-04,-0.020776086
11.149999999999807,11.15,0.7377789,0.020777969,1e-04,-0.020877969,1e-04,-0.020777969
11.159999999999807,11.16,0.73777926,0.02077985,1e-04,-0.02087985,1e-04,-0.02077985
11.169999999999806,11.17,0.7377796,0.020781731,1e-04,-0.020881731,1e-04,-0.020781731
11.179999999999806,11.18,0.73778,0.020783613,1e-04,-0.020883612,1e-04,-0.020783613
11.189999999999806,11.19,0.7377804,0.020785496,1e-04,-0.020885495,1e-04,-0.020785496
11.199999999999806,11.2,0.73778075,0.020787377,1e-04,-0.020887377,1e-04,-0.020787377
11.209999999999805,11.21,0.7377811,0.020789258,1e-04,-0.020889258,1e-04,-0.020789258
11.219999999999805,11.22,0.7377815,0.02079114,1e-04,-0.020891141,1e-04,-0.02079114
11.229999999999805,11.23,0.7377819,0.020793023,1e-04,-0.020893022,1e-04,-0.020793023
11.239999999999805,11.24,0.73778224,0.020794904,1e-04,-0.020894904,1e-04,-0.020794904
11.249999999999805,11.25,0.73778266,0.020796785,1e-04,-0.020896785,1e-04,-0.020796785
11.259999999999804,11.26,0.737783,0.020798666,1e-04,-0.020898668,1e-04,-0.020798666
11.269999999999804,11.27,0.7377834,0.02080055,1e-04,-0.02090055,1e-04,-0.02080055
11.279999999999804,11.28,0.7377838,0.02080243,1e-04,-0.02090243,1e-04,-0.02080243
11.289999999999804,11.29,0.73778415,0.020804312,1e-04,-0.020904312,1e-04,-0.020804312
11.299999999999804,11.3,0.7377845,0.020806195,1e-04,-0.020906195,1e-04,-0.020806195
11.309999999999803,11.31,0.7377849,0.020808076,1e-04,-0.020908076,1e-04,-0.020808076
11.319999999999803,11.32,0.7377853,0.020809958,1e-04,-0.020909958,1e-04,-0.020809958
11.329999999999803,11.33,0.73778564,0.020811839,1e-04,-0.020911839,1e-04,-0.020811839
11.339999999999803,11.34,0.73778605,0.020813722,1e-04,-0.020913722,1e-04,-0.020813722
11.349999999999802,11.35,0.7377864,0.020815603,1e-04,-0.020915603,1e-04,-0.020815603
11.359999999999802,11.36,0.73778677,0.020817485,1e-04,-0.020917485,1e-04,-0.020817485
11.369999999999802,11.37,0.7377871,0.020819366,1e-04,-0.020919368,1e-04,-0.020819366
11.379999999999802,11.38,0.73778754,0.02082125,1e-04,-0.020921249,1e-04,-0.02082125
11.389999999999802,11.39,0.7377879,0.02082313,1e-04,-0.02092313,1e-04,-0.02082313
11.399999999999801,11.4,0.73778826,0.020825012,1e-04,-0.020925011,1e-04,-0.020825012
11.409999999999801,11.41,0.7377887,0.020826893,1e-04,-0.020926895,1e-04,-0.020826893
11.419999999999801,11.42,0.73778903,0.020828776,1e-04,-0.020928776,1e-04,-0.020828776
11.4299999999998,11.43,0.7377894,0.020830657,1e-04,-0.020930657,1e-04,-0.020830657
11.4399999999998,11.44,0.7377898,0.020832539,1e-04,-0.020932538,1e-04,-0.020832539
11.4499999999998,11.45,0.73779017,0.020834422,1e-04,-0.020934422,1e-04,-0.020834422
11.4599999999998,11.46,0.7377905,0.020836303,1e-04,-0.020936303,1e-04,-0.020836303
11.4699999999998,11.47,0.73779094,0.020838184,1e-04,-0.020938184,1e-04,-0.020838184
11.4799999999998,11.48,0.7377913,0.020840066,1e-04,-0.020940065,1e-04,-0.020840066
11.4899999999998,11.49,0.73779166,0.020841949,1e-04,-0.020941949,1e-04,-0.020841949
11.4999999999998,11.5,0.7377921,0.02084383,1e-04,-0.02094383,1e-04,-0.02084383
11.509999999999799,11.51,0.73779243,0.020845711,1e-04,-0.020945711,1e-04,-0.020845711
11.519999999999799,11.52,0.7377928,0.020847593,1e-04,-0.020947594,1e-04,-0.020847593
11.529999999999799,11.53,0.73779315,0.020849476,1e-04,-0.020949475,1e-04,-0.020849476
11.539999999999798,11.54,0.73779356,0.020851357,1e-04,-0.020951357,1e-04,-0.020851357
11.549999999999798,11.55,0.7377939,0.020853238,1e-04,-0.020953238,1e-04,-0.020853238
11.559999999999798,11.56,0.7377943,0.02085512,1e-04,-0.020955121,1e-04,-0.02085512
11.569999999999798,11.57,0.7377947,0.020857003,1e-04,-0.020957002,1e-04,-0.020857003
11.579999999999798,11.58,0.73779505,0.020858884,1e-04,-0.020958884,1e-04,-0.020858884
11.589999999999797,11.59,0.7377954,0.020860765,1e-04,-0.020960765,1e-04,-0.020860765
11.599999999999797,11.6,0.7377958,0.020862648,1e-04,-0.020962648,1e-04,-0.020862648
11.609999999999797,11.61,0.7377962,0.02086453,1e-04,-0.02096453,1e-04,-0.02086453
11.619999999999797,11.62,0.73779655,0.02086641,1e-04,-0.02096641,1e-04,-0.02086641
11.629999999999797,11.63,0.73779696,0.020868292,1e-04,-0.020968292,1e-04,-0.020868292
11.639999999999796,11.64,0.7377973,0.020870175,1e-04,-0.020970175,1e-04,-0.020870175
11.649999999999796,11.65,0.7377977,0.020872056,1e-04,-0.020972056,1e-04,-0.020872056
11.659999999999796,11.66,0.7377981,0.020873938,1e-04,-0.020973938,1e-04,-0.020873938
11.669999999999796,11.67,0.73779845,0.020875819,1e-04,-0.02097582,1e-04,-0.020875819
11.679999999999795,11.68,0.7377988,0.020877702,1e-04,-0.020977702,1e-04,-0.020877702
11.689999999999795,11.69,0.7377992,0.020879583,1e-04,-0.020979583,1e-04,-0.020879583
11.699999999999795,11.7,0.7377996,0.020881465,1e-04,-0.020981465,1e-04,-0.020881465
11.709999999999795,11.71,0.73779994,0.020883346,1e-04,-0.020983348,1e-04,-0.020883346
11.719999999999795,11.72,0.7378003,0.02088523,1e-04,-0.020985229,1e-04,-0.02088523
11.729999999999794,11.73,0.7378007,0.02088711,1e-04,-0.02098711,1e-04,-0.02088711
11.739999999999794,11.74,0.7378011,0.020888992,1e-04,-0.020988991,1e-04,-0.020888992
11.749999999999794,11.75,0.73780143,0.020890875,1e-04,-0.020990875,1e-04,-0.020890875
11.759999999999794,11.76,0.73780185,0.020892756,1e-04,-0.020992756,1e-04,-0.020892756
11.769999999999794,11.77,0.7378022,0.020894637,1e-04,-0.020994637,1e-04,-0.020894637
11.779999999999793,11.78,0.73780257,0.020896519,1e-04,-0.020996518,1e-04,-0.020896519
11.789999999999793,11.79,0.737803,0.020898402,1e-04,-0.020998402,1e-04,-0.020898402
11.799999999999793,11.8,0.73780334,0.020900283,1e-04,-0.021000283,1e-04,-0.020900283
11.809999999999793,11.81,0.7378037,0.020902164,1e-04,-0.021002164,1e-04,-0.020902164
11.819999999999792,11.82,0.7378041,0.020904046,1e-04,-0.021004047,1e-04,-0.020904046
11.829999999999792,11.83,0.7378045,0.020905929,1e-04,-0.021005929,1e-04,-0.020905929
11.839999999999792,11.84,0.73780483,0.02090781,1e-04,-0.02100781,1e-04,-0.02090781
11.849999999999792,11.85,0.73780525,0.020909691,1e-04,-0.021009691,1e-04,-0.020909691
11.859999999999792,11.86,0.7378056,0.020911573,1e-04,-0.021011574,1e-04,-0.020911573
11.869999999999791,11.87,0.73780596,0.020913456,1e-04,-0.021013455,1e-04,-0.020913456
11.879999999999791,11.88,0.7378063,0.020915337,1e-04,-0.021015337,1e-04,-0.020915337
11.889999999999791,11.89,0.73780674,0.020917218,1e-04,-0.021017218,1e-04,-0.020917218
11.89999999999979,11.9,0.7378071,0.020919101,1e-04,-0.021019101,1e-04,-0.020919101
11.90999999999979,11.91,0.73780745,0.020920983,1e-04,-0.021020982,1e-04,-0.020920983
11.91999999999979,11.92,0.73780787,0.020922864,1e-04,-0.021022864,1e-04,-0.020922864
11.92999999999979,11.93,0.7378082,0.020924745,1e-04,-0.021024745,1e-04,-0.020924745
11.93999999999979,11.94,0.7378086,0.020926628,1e-04,-0.021026628,1e-04,-0.020926628
11.94999999999979,11.95,0.737809,0.02092851,1e-04,-0.02102851,1e-04,-0.02092851
11.95999999999979,11.96,0.73780936,0.02093039,1e-04,-0.02103039,1e-04,-0.02093039
11.96999999999979,11.97,0.7378097,0.020932272,1e-04,-0.021032274,1e-04,-0.020932272
11.979999999999789,11.98,0.73781013,0.020934155,1e-04,-0.021034155,1e-04,-0.020934155
11.989999999999789,11.99,0.7378105,0.020936036,1e-04,-0.021036036,1e-04,-0.020936036
11.999999999999789,12.0,0.73781085,0.020937918,1e-04,-0.021037918,1e-04,-0.020937918
12.009999999999788,12.01,0.73781127,0.020939799,1e-04,-0.0210398,1e-04,-0.020939799
12.019999999999788,12.02,0.7378116,0.020941682,1e-04,-0.021041682,1e-04,-0.020941682
12.029999999999788,12.03,0.737812,0.020943563,1e-04,-0.021043563,1e-04,-0.020943563
12.039999999999788,12.04,0.7378124,0.020945445,1e-04,-0.021045445,1e-04,-0.020945445
12.049999999999788,12.05,0.73781276,0.020947328,1e-04,-0.021047328,1e-04,-0.020947328
12.059999999999787,12.06,0.7378131,0.02094921,1e-04,-0.021049209,1e-04,-0.02094921
12.069999999999787,12.07,0.7378135,0.02095109,1e-04,-0.02105109,1e-04,-0.02095109
12.079999999999787,12.08,0.7378139,0.020952972,1e-04,-0.021052971,1e-04,-0.020952972
12.089999999999787,12.09,0.73781425,0.020954855,1e-04,-0.021054855,1e-04,-0.020954855
12.099999999999786,12.1,0.7378146,0.020956736,1e-04,-0.021056736,1e-04,-0.020956736
12.109999999999786,12.11,0.737815,0.020958617,1e-04,-0.021058617,1e-04,-0.020958617
12.119999999999786,12.12,0.7378154,0.020960499,1e-04,-0.0210605,1e-04,-0.020960499
12.129999999999786,12.13,0.73781574,0.020962382,1e-04,-0.021062382,1e-04,-0.020962382
12.139999999999786,12.14,0.73781615,0.020964263,1e-04,-0.021064263,1e-04,-0.020964263
12.149999999999785,12.15,0.7378165,0.020966144,1e-04,-0.021066144,1e-04,-0.020966144
12.159999999999785,12.16,0.7378169,0.020968026,1e-04,-0.021068027,1e-04,-0.020968026
12.169999999999785,12.17,0.7378173,0.020969909,1e-04,-0.021069909,1e-04,-0.020969909
12.179999999999785,12.18,0.73781765,0.02097179,1e-04,-0.02107179,1e-04,-0.02097179
12.189999999999785,12.19,0.737818,0.020973671,1e-04,-0.021073671,1e-04,-0.020973671
12.199999999999784,12.2,0.7378184,0.020975554,1e-04,-0.021075554,1e-04,-0.020975554
12.209999999999784,12.21,0.7378188,0.020977436,1e-04,-0.021077435,1e-04,-0.020977436
12.219999999999784,12.22,0.73781914,0.020979317,1e-04,-0.021079317,1e-04,-0.020979317
12.229999999999784,12.23,0.7378195,0.020981198,1e-04,-0.021081198,1e-04,-0.020981198
